vehicle_rep1.bam	vehicle_rep2.bam	drug_rep1.bam	drug_rep2.bam
PF3D7_1252300	313	153	487	537
PF3D7_0936400	0	0	0	0
PF3D7_API01000	0	0	0	0
PF3D7_1413000	0	1	2	0
PF3D7_0104300	395	285	665	847
PF3D7_0819000	163	156	123	149
PF3D7_1038600	0	0	13	19
PF3D7_1200800	27	38	192	243
PF3D7_0507000	21	23	22	8
PF3D7_1347600	39	54	15	18
PF3D7_1025200	83	56	43	52
PF3D7_1408800	0	0	1	0
PF3D7_1347000	13	33	7	16
PF3D7_0627000	0	1	0	0
PF3D7_0720000	158	224	119	115
PF3D7_0723700	40	38	105	144
PF3D7_0932700	25	33	15	16
PF3D7_1219300	68	30	35	37
PF3D7_0626800	9813	8045	4953	4878
PF3D7_0618000	40	39	32	67
PF3D7_1026500	16	19	26	20
PF3D7_0212900	525	645	546	536
PF3D7_0623600	506	381	390	521
PF3D7_0512600	396	549	596	577
PF3D7_0104400	349	488	366	377
PF3D7_0209200	231	215	213	258
PF3D7_1402300	436	415	194	278
PF3D7_0618100	52	56	36	47
PF3D7_0425700	0	0	2	1
PF3D7_1223400	1032	955	1007	1248
PF3D7_0425100	1	0	26	30
PF3D7_0715700	32	62	43	28
PF3D7_1135300	19	23	13	13
PF3D7_1003700	47	69	103	113
PF3D7_1251200	139	232	288	250
PF3D7_1449000	6	9	5	2
PF3D7_1345700	787	889	657	713
PF3D7_0920200	189	251	270	229
PF3D7_0928500	20	21	33	38
PF3D7_0606000	138	118	319	450
PF3D7_1303300	31	23	22	26
PF3D7_1356800	34	21	14	30
PF3D7_1124700	198	173	125	126
PF3D7_1235700	886	1169	774	775
PF3D7_1121100	125	105	130	138
PF3D7_1040500	30	31	18	25
PF3D7_0220600	122	80	399	548
PF3D7_1029700	1	30	24	19
PF3D7_0933800	8	9	11	12
PF3D7_0827500	146	179	177	185
PF3D7_1001000	125	95	115	149
PF3D7_1023400	115	120	82	108
PF3D7_1303600	21	22	19	22
